Name;Version;God_Class;Lazy_Class;Complex_Class;Large_Class;Refused_Request;Data_Class;Feature_Envy;Brain_Class;Hub_Like_Dependency;Class_Cyclic_Dependency;Unhealthy_Inheritance_Hierarchy;Long_Method;Long_Parameter_List;Shotgun_Surgery;Brain_Method;Unstable_Dependency;Package_Cyclic_Dependency;Total;Distinct_Count
org.apache.cxf.bus.spring.BusApplicationContext;;0;0;1;1;0;1;1;0;1;0;0;7;10;0;0;1;0;23;8
org.apache.cxf.common.classloader.ClassLoaderUtils;;0;0;1;1;0;0;0;0;0;0;0;10;9;1;0;0;0;22;5
org.apache.cxf.bus.spring.BusEntityResolver;;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;1;0;5;3
org.apache.cxf.bus.spring.ControlledValidationXmlBeanDefinitionReader;;0;0;0;1;0;1;0;0;0;0;0;3;3;0;0;1;0;9;5
org.apache.cxf.bus.spring.BusApplicationContextResourceResolver;;0;0;0;0;0;1;0;0;0;0;0;2;2;0;0;1;0;6;4
org.apache.cxf.bus.spring.BusDefinitionParser;;0;0;0;1;0;0;1;0;0;0;0;4;4;0;0;1;0;11;5
org.apache.cxf.bus.spring.BusDefinitionParser.BusConfig;;0;0;0;1;1;1;0;0;0;0;0;5;1;0;0;1;0;10;6
org.apache.cxf.configuration.spring.AbstractBeanDefinitionParser;;1;0;0;1;0;0;1;0;0;0;0;17;24;0;0;0;0;44;5
org.apache.cxf.bus.spring.SpringBus;;0;0;0;1;0;1;0;0;0;0;0;2;2;0;0;1;0;7;5
org.apache.cxf.bus.spring.BusExtensionPostProcessor;;0;0;0;0;0;1;0;0;0;0;0;1;3;0;0;1;0;6;4
org.apache.cxf.bus.spring.BusWiringBeanFactoryPostProcessor;;0;0;0;1;0;1;1;0;0;0;0;5;5;0;0;1;0;14;6
org.apache.cxf.bus.spring.ControlledValidationXmlBeanDefinitionReader.StaleFastinfosetException;;0;1;0;0;0;0;0;0;0;0;0;;;;;1;0;2;2
org.apache.cxf.bus.spring.TunedDocumentLoader;;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;1;0;7;3
org.apache.cxf.bus.spring.Jsr250BeanPostProcessor;;0;0;0;1;0;1;0;0;0;1;0;5;5;0;0;1;0;14;6
org.apache.cxf.bus.spring.NamespaceHandler;;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;3;3
org.apache.cxf.configuration.spring.SimpleBeanDefinitionParser;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
org.apache.cxf.feature.FastInfosetFeature;;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1
org.apache.cxf.feature.LoggingFeature;;0;0;0;1;0;1;0;0;0;0;1;0;3;0;0;0;0;6;4
org.apache.cxf.bus.spring.SpringBeanLocator;;0;0;1;1;0;0;0;0;0;0;0;11;13;0;0;1;0;27;5
org.apache.cxf.common.util.ReflectionUtil;;0;0;0;1;0;1;1;0;0;0;0;13;6;1;0;0;1;24;7
org.apache.cxf.bus.spring.SpringBus.SpringBusApplicationListener;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;2
org.apache.cxf.configuration.spring.ConfigurerImpl;;0;0;1;1;0;0;1;0;0;0;0;5;9;0;0;0;0;17;5
org.apache.cxf.bus.spring.SpringBusFactory;;0;0;0;1;1;1;0;0;0;1;0;5;13;1;0;1;0;24;8
org.apache.cxf.bus.spring.SpringBusFactory.BusApplicationContextLifeCycleListener;;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;3;3
org.apache.cxf.staxutils.StaxUtils;;1;0;1;1;0;0;0;0;0;0;0;62;72;3;1;0;0;141;7
org.apache.cxf.staxutils.W3CDOMStreamWriter;;1;0;0;1;0;0;1;0;0;0;0;10;28;1;0;0;0;42;6
org.apache.cxf.common.i18n.Exception;;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;1;5;3
org.apache.cxf.BusFactory.BusHolder;;0;1;0;0;0;0;0;0;0;0;0;;;;;0;0;1;1
org.apache.cxf.catalog.CatalogXmlSchemaURIResolver;;0;0;0;0;0;1;0;0;0;1;1;1;1;0;0;0;0;5;5
org.apache.cxf.resource.ExtendedURIResolver;;0;0;0;0;0;1;0;0;0;0;0;2;2;0;0;0;0;5;3
org.apache.cxf.transport.TransportURIResolver;;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;4;4
org.apache.cxf.catalog.OASISCatalogManager;;0;0;0;1;0;1;1;0;0;0;0;7;12;0;0;0;0;22;5
org.apache.cxf.catalog.OASISCatalogManagerHelper;;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;3;3
org.apache.cxf.resource.URIResolver;;1;0;1;1;0;0;1;0;0;0;0;9;16;0;0;0;0;29;6
org.apache.cxf.common.annotation.AbstractAnnotationVisitor;;0;0;0;0;0;1;0;0;0;0;0;0;5;0;0;0;0;6;2
org.apache.cxf.common.annotation.AnnotationProcessor;;0;0;0;0;0;1;0;0;0;0;0;4;6;0;0;0;0;11;3
org.apache.cxf.common.classloader.ClassLoaderUtils.ClassLoaderHolder;;0;1;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;4;3
org.apache.cxf.common.CXFPermissions;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
org.apache.cxf.common.util.PackageUtils;;0;0;1;1;0;1;0;0;0;0;0;5;7;0;0;0;1;16;6
org.apache.cxf.common.util.ClassHelper;;0;0;0;0;0;1;0;0;0;0;0;1;9;0;0;0;1;12;4
org.apache.cxf.common.jaxb.EscapeHandlerInvocationHandler;;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;3;3
org.apache.cxf.common.jaxb.JAXBContextCache;;0;0;1;1;0;0;0;0;1;0;0;8;6;0;1;0;0;18;6
org.apache.cxf.common.jaxb.JAXBContextCache.CachedContextAndSchemas;;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;4;2
org.apache.cxf.common.jaxb.JAXBContextCache.CachedContextAndSchemasInternal;;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2;2
org.apache.cxf.common.util.CacheMap;;0;0;0;1;0;1;0;0;0;0;0;2;5;0;0;0;1;10;5
org.apache.cxf.common.util.CachedClass;;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;3;3
org.apache.cxf.common.jaxb.JAXBUtils;;1;0;1;1;0;0;1;0;0;0;0;34;33;0;1;0;0;72;7
org.apache.cxf.common.jaxb.JAXBUtils.DefaultClassNameAllocator;;0;0;0;0;0;1;0;0;0;0;0;1;2;0;0;0;0;4;3
org.apache.cxf.common.util.ProxyHelper;;0;0;0;0;0;0;1;0;0;0;1;2;4;0;0;0;1;9;5
org.apache.cxf.common.util.ReflectionInvokationHandler;;0;0;1;1;0;1;0;0;0;0;0;4;5;0;0;0;1;13;6
org.apache.cxf.common.xmlschema.SchemaCollection;;0;0;0;1;0;0;0;0;0;0;0;10;16;0;0;0;0;27;3
org.apache.cxf.helpers.JavaUtils;;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;3;3
org.apache.cxf.common.jaxb.SchemaCollectionContextProxy;;0;0;1;1;0;0;0;0;0;0;0;3;5;0;0;0;0;10;4
org.apache.cxf.common.jaxb.NamespaceMapper;;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;3;3
org.apache.cxf.common.logging.AbstractDelegatingLogger;;0;0;0;1;0;0;0;0;0;0;0;21;25;2;0;0;1;50;5
org.apache.cxf.common.logging.JDKBugHacks;;0;0;1;1;0;0;0;0;0;0;0;2;2;0;0;0;1;7;5
org.apache.cxf.common.logging.RegexLoggingFilter;;0;0;0;0;0;1;0;0;0;0;0;2;6;0;0;0;1;10;4
org.apache.cxf.common.logging.RegexLoggingFilter.ReplaceRegEx;;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;1;4;3
org.apache.cxf.common.logging.Slf4jLogger;;0;0;1;1;0;0;0;0;0;0;0;3;4;0;0;0;1;10;5
org.apache.cxf.common.security.SimpleGroup;;0;0;0;0;1;1;0;0;0;0;0;1;3;0;0;0;0;6;4
org.apache.cxf.common.security.SimplePrincipal;;0;0;0;0;0;1;0;0;0;0;0;0;3;1;0;0;0;5;3
org.apache.cxf.common.security.SimpleSecurityContext;;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;2
org.apache.cxf.common.security.UsernameToken;;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;4;4
org.apache.cxf.common.spi.ClassGeneratorClassLoader;;0;0;0;1;0;0;0;0;0;0;0;4;5;0;0;0;0;10;3
org.apache.cxf.common.spi.ClassGeneratorClassLoader.TypeHelperClassLoader;;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;4;2
org.apache.cxf.common.util.WeakIdentityHashMap;;0;0;0;1;0;1;0;0;0;0;0;2;2;1;0;0;1;8;6
org.apache.cxf.common.spi.ClassLoaderProxyService;;0;0;0;0;0;1;0;0;0;0;0;1;2;0;0;0;0;4;3
org.apache.cxf.common.spi.ClassLoaderProxyService.GenerateJustInTime;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
org.apache.cxf.common.spi.ClassLoaderProxyService.LoadFirst;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
org.apache.cxf.common.spi.NamespaceClassGenerator;;0;0;0;1;0;0;0;0;0;0;0;4;4;0;0;0;0;9;3
org.apache.cxf.common.spi.GeneratedNamespaceClassLoader;;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;2
org.apache.cxf.common.spi.GeneratedClassClassLoader;;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;4;2
