Name;Version;God_Class;Lazy_Class;Complex_Class;Large_Class;Refused_Request;Data_Class;Feature_Envy;Brain_Class;Hub_Like_Dependency;Class_Cyclic_Dependency;Unhealthy_Inheritance_Hierarchy;Long_Method;Long_Parameter_List;Shotgun_Surgery;Brain_Method;Unstable_Dependency;Package_Cyclic_Dependency;Total;Distinct_Count
hudson.model.ComputerSet;;1;0;0;1;1;0;0;0;0;0;1;15;7;0;0;1;0;27;7
hudson.cli.EnablePluginCommand;;0;0;0;0;0;0;1;0;0;0;0;3;2;0;0;0;0;6;3
hudson.cli.GetJobCommand;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
hudson.cli.GetNodeCommand;;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1
hudson.util.XStream2;;0;0;0;1;0;1;1;0;0;0;0;3;9;2;0;0;1;18;7
hudson.cli.GetViewCommand;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
hudson.cli.GroovyCommand;;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;3;2
jenkins.util.ScriptListener.ListenerWriter;;0;0;0;0;0;1;0;0;0;0;0;1;2;0;0;0;0;4;3
hudson.cli.GroovyshCommand;;0;0;0;1;0;0;0;0;0;0;0;2;2;0;0;0;0;5;3
hudson.cli.GroovyshCommand.LoggingGroovySh;;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;1
jenkins.util.ScriptListener.ListenerOutputStream;;0;0;0;0;0;1;0;0;0;0;0;1;3;0;0;0;0;5;3
hudson.cli.handlers.AbstractItemOptionHandler;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
hudson.cli.handlers.GenericItemOptionHandler;;0;0;0;0;0;0;0;0;1;0;0;1;2;0;0;0;0;4;3
hudson.cli.handlers.AbstractProjectOptionHandler;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
hudson.model.Items;;1;0;1;1;1;0;0;0;1;0;0;11;18;0;0;1;0;35;8
hudson.security.ACL;;0;0;0;1;0;0;0;0;0;0;0;11;14;1;0;1;0;28;5
hudson.security.ACLContext;;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;2;2
hudson.cli.handlers.JobOptionHandler;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
hudson.cli.handlers.NodeOptionHandler;;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;2;2
hudson.cli.handlers.ParameterizedJobOptionHandler;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
hudson.cli.handlers.TopLevelItemOptionHandler;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
hudson.cli.InstallPluginCommand;;0;0;1;1;0;0;1;0;0;0;0;2;2;0;0;0;0;7;5
hudson.model.UpdateSite;;1;0;0;1;1;0;1;0;1;0;1;9;17;1;0;1;0;34;10
hudson.model.UpdateSite.Data;;0;0;1;1;0;1;0;0;1;0;0;1;1;0;0;1;0;7;7
hudson.model.UpdateSite.Plugin;;1;0;1;1;1;0;1;0;0;1;1;11;12;0;0;1;0;31;10
hudson.model.UpdateCenter;;1;0;1;1;1;0;1;0;0;1;0;37;32;0;0;1;0;76;9
hudson.util.PersistedList;;0;0;0;1;0;1;0;0;0;0;0;5;10;4;0;0;1;22;6
